# generated_utc	2026-05-24T05:14:41Z
# platform	Linux-6.8.0-111-generic-x86_64-with-glibc2.35
# python_executable	/home/ericksam/.conda/envs/radigest-manuscript/bin/python3
record_type	name	status_or_sha256	value	command_or_path
command	python_current	exit=0	Python 3.11.15	/home/ericksam/.conda/envs/radigest-manuscript/bin/python3 --version
command	mamba	exit=0	2.1.1	mamba --version
command	conda	exit=0	conda 25.3.0	conda --version
command	git	exit=0	git version 2.54.0	git --version
command	make	exit=0	GNU Make 4.4.1\nBuilt for x86_64-conda-linux-gnu\nCopyright (C) 1988-2023 Free Software Foundation, Inc.\nLicense GPLv3+: GNU GPL version 3 or later <https://gnu.org/licenses/gpl.html>\nThis is free software: you are free to change and redistribute it.\nThere is NO WARRANTY, to the extent permitted by law.	make --version
command	go	exit=0	go version go1.22.12 linux/amd64	go version
command	snakemake	exit=0	9.21.0	snakemake --version
command	radigest	exit=0	radigest v0.2.0	resources/software/radigest/bin/radigest -version
command	samtools	exit=0	samtools 1.23.1\nUsing htslib 1.23.1\nCopyright (C) 2025 Genome Research Ltd.\n\nSamtools compilation details:\n    Features:       build=configure curses=yes \n    CC:             /opt/conda/conda-bld/samtools_1773861632090/_build_env/bin/x86_64-conda-linux-gnu-cc\n    CPPFLAGS:       -DNDEBUG -D_FORTIFY_SOURCE=2 -O2 -isystem /home/ericksam/.conda/envs/radigest-manuscript/include\n    CFLAGS:         -Wall -march=nocona -mtune=haswell -ftree-vectorize -fPIC -fstack-protector-strong -fno-plt -O2 -ffunction-sections -pipe -isystem /home/ericksam/.conda/envs/radigest-manuscript/include -fdebug-prefix-map=/opt/conda/conda-bld/samtools_1773861632090/work=/usr/local/src/conda/samtools-1.23.1 -fdebug-prefix-map=/home/ericksam/.conda/envs/radigest-manuscript=/usr/local/src/conda-prefix\n    LDFLAGS:        -Wl,-O2 -Wl,--sort-common -Wl,--as-needed -Wl,-z,relro -Wl,-z,now -Wl,--disable-new-dtags -Wl,--gc-sections -Wl,--allow-shlib-undefined -Wl,-rpath,/home/ericksam/.conda/envs/radigest-manuscript/lib -Wl,-rpath-link,/home/ericksam/.conda/envs/radigest-manuscript/lib -L/home/ericksam/.conda/envs/radigest-manuscript/lib\n    HTSDIR:         \n    LIBS:           \n    CURSES_LIB:     -ltinfow -lncursesw\n\nHTSlib compilation details:\n    Features:       build=configure libcurl=yes S3=yes GCS=yes libdeflate=yes lzma=yes bzip2=yes plugins=yes plugin-path=/home/ericksam/.conda/envs/radigest-manuscript/libexec/htslib htscodecs=1.6.6\n    CC:             /opt/conda/conda-bld/htslib_1773854783180/_build_env/bin/x86_64-conda-linux-gnu-cc\n    CPPFLAGS:       -DNDEBUG -D_FORTIFY_SOURCE=2 -O2 -isystem /home/ericksam/.conda/envs/radigest-manuscript/include\n    CFLAGS:         -Wall -march=nocona -mtune=haswell -ftree-vectorize -fPIC -fstack-protector-strong -fno-plt -O2 -ffunction-sections -pipe -isystem /home/ericksam/.conda/envs/radigest-manuscript/include -fdebug-prefix-map=/opt/conda/conda-bld/htslib_1773854783180/work=/usr/local/src/conda/htslib-1.23.1 -fdebug-prefix-map=/home/ericksam/.conda/envs/radigest-manuscript=/usr/local/src/conda-prefix -fvisibility=hidden\n    LDFLAGS:        -Wl,-O2 -Wl,--sort-common -Wl,--as-needed -Wl,-z,relro -Wl,-z,now -Wl,--disable-new-dtags -Wl,--gc-sections -Wl,--allow-shlib-undefined -Wl,-rpath,/home/ericksam/.conda/envs/radigest-manuscript/lib -Wl,-rpath-link,/home/ericksam/.conda/envs/radigest-manuscript/lib -L/home/ericksam/.conda/envs/radigest-manuscript/lib -fvisibility=hidden -rdynamic\n\nHTSlib URL scheme handlers present:\n    built-in:	 file, preload, data\n    Amazon S3:	 s3+https, s3, s3+http\n    Google Cloud Storage:	 gs+http, gs+https, gs\n    libcurl:	 gophers, smtp, wss, rtsp, tftp, mqtts, pop3, imaps, pop3s, ws, ftps, https, http, ftp, gopher, imap, sftp, smtps, scp, dict, mqtt, telnet\n    crypt4gh-needed:	 crypt4gh\n    mem:	 mem	samtools --version
command	bwa_mem2	exit=0	Looking to launch executable "/home/ericksam/.conda/envs/radigest-manuscript/bin/bwa-mem2.avx512bw", simd = .avx512bw\nLaunching executable "/home/ericksam/.conda/envs/radigest-manuscript/bin/bwa-mem2.avx512bw"\n2.2.1	bwa-mem2 version
command	fastp	exit=0	fastp 0.26.0	fastp --version
command	bbmap	exit=0	39.81	bbversion.sh
command	hyperfine	exit=0	hyperfine 1.20.0	hyperfine --version
command	jq	exit=0	jq-1.8.1	jq --version
sha256	radigest	9bc7aeac6f961bcd25b91bc8471b9fcfca7bd5ace8d117924d92a1a0cc30a99c	NA	resources/software/radigest/bin/radigest
sha256	radigest-screen-pairs	e7bbcab6ac3e128b9d2ff5895f3ed4b81a251fcd5f9cccbe28e20916323c0f6b	NA	resources/software/radigest/bin/radigest-screen-pairs
sha256	radigest-rank-pairs	7ef2102ada6f77366655ae356fa5f3be1d1f7ade49d86e913d7faadee16ec99f	NA	resources/software/radigest/bin/radigest-rank-pairs
sha256	radigest-fit-size-model	95caf0365ff5eae9d75e7f2dd58164812f5d20085885a227e7cfaf01c52116f8	NA	resources/software/radigest/bin/radigest-fit-size-model
